ROAD_NO,ROAD_TYPE,ROAD_NAME,SECTION_START,SECTION_END,WIDTH,LENGTH,ANNOUNCE_DATE,DISTRICT,DEPARTMENT,ROAD_OWNER
32,ถนน,ถนนเจริญเมือง,ถนนรองเมือง,ถนนพระรามที่ 6,23.50,0.23,2010-09-09,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
33,ถนน,ถนนเจริญรัถ,ถนนสมเด็จ พระเจ้าตากสิน,ถนนเจริญนคร,14.00,1.78,1984-08-20,คลองสาน,สำนักการโยธา,กรุงเทพมหานคร
34,ถนน,ถนนเจริญราษฎร์,ถนนสาทรใต้,สุดเขตพื้นที่,40.00,1.517,2006-08-04,สาทร,สำนักการโยธา,กรุงเทพมหานคร
34,ถนน,ถนนเจริญราษฎร์,ถนนรัชดาภิเษก (พระรามที่ 3),สุดเขตพื้นที่,40.00-100.00,1.8,2004-10-22,บางคอแหลม,สำนักการโยธา,กรุงเทพมหานคร
35,ถนน,ถนนเจ้าคุณทหาร,ถนนร่มเกล้า,ถนนฉลองกรุง,40.00,5.025,1993-05-20,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
36,ถนน,ถนนเจ้าฟ้า,ถนนพระอาทิตย์,ถนนราชดำเนินกลาง,15.00,0.57,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
37,ถนน,ถนนฉลองกรุง,ถนนสุวินทวงศ์,คลองลำมะขาม,30.00,3.331,1985-08-16,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
37,ถนน,ถนนฉลองกรุง,คลองลำมะขาม,สะพานข้ามคลองประเวศ,30.00,7,1985-08-16,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
38,ถนน,ถนนฉิมพลี,ถนนชักพระ,คลองบางระมาด,14.00,3.92,1986-06-09,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
38,ถนน,ถนนฉิมพลี,ถนนบรมราชชนนี,สุดระยะ (คลองบ้านไทร),10.30-20.00,0.485,2011-02-11,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
38,ถนน,ถนนฉิมพลี,คลองบ้านไทร,ถนนพุทธมณฑลสาย 1,10.30-14.40,0.485,2011-02-11,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
38,ถนน,ถนนฉิมพลี,ถนนพุทธมณฑลสาย 1,ถนนพุทธมณฑลสาย 1,11.40-12.00,0.3,2011-02-11,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
39,ถนน,ถนนเฉลิมพงษ์,ถนนสายไหม,สุดพื้นที่เขตกรุงเทพมหานคร,19.00-20.00,0.996,2003-03-03,สายไหม,สำนักการโยธา,กรุงเทพมหานคร
40,ถนน,ถนนเฉลิมพระเกียรติ ร.9,ถนนสุขุมวิท 77 (ถนนอ่อนนุช),ถนนศรีนครินทร์,20.00-25.00,8.6,1999-08-11,ประเวศ,สำนักการโยธา,กรุงเทพมหานคร
40,ถนน,ถนนเฉลิมพระเกียรติ ร.9,ถนนอ่อนนุช (สุขุมวิท 77),สุดเขตพื้นที่ (ทางรถไฟสายตวันออก),25.00,1.16,2012-06-27,ประเวศ,สำนักการโยธา,กรุงเทพมหานคร
41,ถนน,ถนนชัยพฤกษ์,คลองชักพระ,วัดชัยพฤกษ์มาลา,14.00,1.66,1986-06-09,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
42,ถนน,ถนนชิดลม,ถนนเพชรบุรี,คลองแสนแสบ (สุดพื้นที่เขต),18.00,0.06,2005-10-07,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
42,ถนน,ถนนชิดลม,ถนนเพลินจิต,สุดเขตพื้นที่ (คลองแสนแสบ),18.65-19.50,0.59,2010-02-03,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
43,ถนน,ถนนเชื่อมคลองมอญ,ถนนประชาพัฒนา,ถนนเลียบคลองมอญ,30.00,1.623,1985-08-16,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
44,ถนน,ถนนเชื่อมสัมพันธ์,ถนนเลียบวารี,หอนาฬิกา,15.50,0.06,1985-06-25,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
44,ถนน,ถนนเชื่อมสัมพันธ์,หอนาฬิกา,คลองแสนแสบ,15.00,0.085,1985-06-25,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
44,ถนน,ถนนเชื่อมสัมพันธ์,คลองแสนแสบ,คลองลำต้นกล้วย,15.00,0.09,1985-06-25,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
44,ถนน,ถนนเชื่อมสัมพันธ์,คลองลำต้นกล้วย,ถนนสกุลดี,11.00,0.312,1985-06-25,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
45,ถนน,ถนนโชคชัย 4,ถนนลาดพร้าว,คลองทรงกระเทียม,10.00,0.76,1999-04-26,วังทองหลาง,สำนักการโยธา,กรุงเทพมหานคร
45,ถนน,ถนนโชคชัย 4,คลองทรงกระเทียม,ถนนสุขาภิบาล-บางกะปิ,14.00-18.00,3.131,1999-04-26,ลาดพร้าว,สำนักการโยธา,กรุงเทพมหานคร
46,ถนน,ถนน ณ ระนอง,ห้าแยก ณ ระนอง,คลังน้ำมันเชลล์,12.00-16.10,0.65,1994-04-15,คลองเตย,สำนักการโยธา,กรุงเทพมหานคร
47,ถนน,ถนนดำรงค์รักษ์,ถนนผดุงกรุงเกษม,กรมโยธาธิการ,17.50,1.251,1984-01-25,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
