ROAD_NAME,DISTRICT,LENGTH
ถนนเลียบคลองสอง,คลองสามวา,3.154
ถนนเลียบทางรถไฟ,ตลิ่งชัน,0.9
ถนนเลียบวารี,หนองจอก,7.1
ถนนเศรษฐศิริ,ดุสิต,0.693
ถนนเศรษฐศิริ 1,พญาไท,0.247
ถนนเศรษฐศิริ 2,พญาไท,0.248
ถนนเสนานิคม 1,จตุจักร,2.14
ถนนเสนานิคม 1,ลาดพร้าว,1.23
ถนนเสรีไทย,คันนายาว,3.3
ถนนเสรีไทย,บางกะปิ,1.15
ถนนเสรีไทย,บึงกุ่ม,2.85
ถนนเสรีไทย,มีนบุรี,1.805
ถนนเสือป่า,ป้อมปราบศัตรูพ่าย,0.4
ถนนเอกชัย,จอมทอง,2.8
ถนนแก้วเงินทอง,ตลิ่งชัน,3.22
ถนนแบริ่ง-ลาซาล,บางนา,0.817
ถนนแสมดำ,บางขุนเทียน,2.95
ถนนแฮปปี้แลนด์สาย 1,บางกะปิ,0.67
ถนนโชคชัย 4,ลาดพร้าว,3.131
ถนนโชคชัย 4,วังทองหลาง,0.76
ถนนโพธิ์แก้ว,บางกะปิ,1.515
ถนนโพธิ์แก้ว,บึงกุ่ม,0.91
ถนนโยธินพัฒนา,บางกะปิ,1.01
ถนนโยธินพัฒนา,ลาดพร้าว,1.125
ถนนโยธี,ราชเทวี,1.05
ถนนไกรสีห์,พระนคร,0.194
ถนนไมตรีจิต,คลองสามวา,5.6
ถนนไมตรีจิตต์,ป้อมปราบศัตรูพ่าย,0.905
พระรามที่ 2 ซอย 100 (ถนนเข้าโรงเรียนพรมแดน),บางขุนเทียน,1.1
พระรามที่ 2 ซอย 50 (วัดกำแพง),บางขุนเทียน,1.5
พระรามที่ 2 ซอย 82 (ซอยรางโพธิ์),บางขุนเทียน,0.4
ศรีนครินทร์ 55 (ซอยหมู่บ้านเสรีวิลล่า),ประเวศ,1.15
สุขุมวิท 103 (ซอยอุดมสุข),บางนา,3.5
สุขุมวิท 103 (ซอยอุดมสุข),ประเวศ,0.605
สุขุมวิท 105 (ซอยลาซาล),บางนา,4.8
สุขุมวิท 107 (ซอยแบริ่ง),บางนา,0.069
สุขุมวิท 63 (เอกมัย),พระโขนง,2.662
สุขุมวิท 63 (เอกมัย),วัฒนา,2.662
สุขุมวิท 71 (ถนนปรีดี พนมยงค์),พระโขนง,2.834
สุขุมวิท 71 (ถนนปรีดี พนมยงค์),วัฒนา,2.834
สุขุมวิท 71 (ถนนปรีดี พนมยงค์),สวนหลวง,0.39
สุขุมวิท 77 (ซอยอ่อนนุช),ประเวศ,5.698
สุขุมวิท 77 (ซอยอ่อนนุช),วัฒนา,2.56
สุขุมวิท 77 (ซอยอ่อนนุช),สวนหลวง,4.735
